,PacketTotalNum,DurationTime,PacketLenMean,PayloadLenMean,TimeGapMean
34407,5,74241.30024600029,64.0,22.0,18560.325061500072
34408,5,716.8657238483429,84.0,22.0,179.21643096208572
34409,5,716.8656280040741,64.0,22.0,179.21640700101852
34410,5,3536370.200327873,84.0,22.0,884092.5500819683
34411,5,3536370.200419903,64.0,22.0,884092.5501049757
34412,3,-7601.933705091476,131.0,89.0,-3800.966852545738
34413,5,-5999.068976163864,84.0,22.0,-1499.767244040966
34414,5,-5999.069138050079,64.0,22.0,-1499.7672845125198
34415,1,0.0,75.0,33.0,0.0
34416,2,598.7825269699097,387.0,345.0,598.7825269699097
34417,1,0.0,79.0,37.0,0.0
34418,1,0.0,415.0,373.0,0.0
34419,1,0.0,75.0,33.0,0.0
34420,1,0.0,387.0,345.0,0.0
34421,5,-6563.609331846237,84.0,22.0,-1640.9023329615593
34422,5,-6563.60936999321,64.0,22.0,-1640.9023424983025
34423,5,74558.35592699051,84.0,22.0,18639.588981747627
34424,5,74558.35590600967,64.0,22.0,18639.58897650242
34425,5,65397.41719198227,84.0,22.0,16349.354297995567
34426,5,65397.41700720787,64.0,22.0,16349.354251801968
34427,3,-7601.933730125427,131.0,89.0,-3800.9668650627136
34428,5,74278.60433101654,84.0,22.0,18569.651082754135
34429,5,74278.60449504852,64.0,22.0,18569.65112376213
34430,5,-8509.73050904274,84.0,22.0,-2127.432627260685
34431,5,-8509.73058104515,64.0,22.0,-2127.4326452612877
34432,1,0.0,79.0,37.0,0.0
34433,1,0.0,415.0,373.0,0.0
34434,5,3536086.564478874,64.0,22.0,884021.6411197186
34435,5,3536086.5643188953,84.0,22.0,884021.6410797238
34436,5,-9410.766461133957,84.0,22.0,-2352.691615283489
34437,5,-9410.766605138779,64.0,22.0,-2352.6916512846947
34438,1,0.0,87.0,45.0,0.0
34439,1,0.0,239.0,197.0,0.0
34440,1,0.0,79.0,37.0,0.0
34441,1,0.0,415.0,373.0,0.0
34442,5,-8055.864612817764,84.0,22.0,-2013.966153204441
34443,5,-8055.864863872528,64.0,22.0,-2013.966215968132
34444,5,1674.541302204132,84.0,22.0,418.635325551033
34445,5,1674.5407531261444,64.0,22.0,418.6351882815361
34446,5,3537010.8700430393,64.0,22.0,884252.7175107598
34447,5,3537010.8697519302,84.0,22.0,884252.7174379826
34448,2,-7601.933506965637,131.0,89.0,-7601.933506965637
34449,5,67300.70688700676,84.0,22.0,16825.17672175169
34450,5,67300.7067990303,64.0,22.0,16825.176699757576
34451,5,63724.33184695244,84.0,22.0,15931.08296173811
34452,5,63724.33165502548,64.0,22.0,15931.08291375637
34453,5,74425.37600207329,84.0,22.0,18606.344000518322
34454,5,74425.37590384483,64.0,22.0,18606.34397596121
34455,5,3537117.867958069,64.0,22.0,884279.4669895172
34456,5,3537117.8676879406,84.0,22.0,884279.4669219851
34457,2,-7601.9338319301605,131.0,89.0,-7601.9338319301605
34458,2,-7601.933512926102,131.0,89.0,-7601.933512926102
34459,5,65776.70117378235,84.0,22.0,16444.175293445587
34460,5,65776.70126509666,64.0,22.0,16444.175316274166
34461,5,668.6766798496246,84.0,22.0,167.16916996240616
34462,5,668.6764430999756,64.0,22.0,167.1691107749939
34463,1,0.0,131.0,89.0,0.0
34464,5,65458.31087613106,84.0,22.0,16364.577719032764
34465,1,0.0,75.0,33.0,0.0
34466,1,0.0,387.0,345.0,0.0
34467,1,0.0,131.0,89.0,0.0
34468,4,17.08756399154663,96.5,54.5,5.695854663848877
34469,5,3536069.7148759365,64.0,22.0,884017.4287189841
34470,5,3536276.5606520176,84.0,22.0,884069.1401630044
34471,1,0.0,79.0,37.0,0.0
34472,1,0.0,415.0,373.0,0.0
34473,5,-7660.957005977631,84.0,22.0,-1915.2392514944077
34474,5,-7660.956903934479,64.0,22.0,-1915.2392259836197
34475,1,0.0,79.0,37.0,0.0
34476,1,0.0,415.0,373.0,0.0
34477,5,67510.38373684883,84.0,22.0,16877.595934212208
34478,5,67510.38367486,64.0,22.0,16877.595918715
34479,1,0.0,131.0,89.0,0.0
34480,5,838.2628509998322,84.0,22.0,209.56571274995804
34481,5,838.2628610134125,64.0,22.0,209.56571525335312
34482,2,-5101.505117893219,131.0,89.0,-5101.505117893219
34483,5,67507.16283202171,84.0,22.0,16876.79070800543
34484,5,67507.1627509594,64.0,22.0,16876.79068773985
34485,5,-6928.711222887039,84.0,22.0,-1732.1778057217598
34486,5,-6928.711364030838,64.0,22.0,-1732.1778410077095
34487,5,-8218.511651039124,84.0,22.0,-2054.627912759781
34488,5,-8218.511753082275,64.0,22.0,-2054.627938270569
34489,2,-5101.504603147507,131.0,89.0,-5101.504603147507
34490,2,-5101.504755973816,131.0,89.0,-5101.504755973816
